epoch,train_loss,valid_loss,error_rate,accuracy,time
0,1.1015210151672363,0.5988850593566895,0.19031311571598053,0.8096868991851807,01:11
1,0.8457298278808594,0.5747486352920532,0.1775929480791092,0.822407066822052,01:11
2,0.7589496970176697,0.549994945526123,0.17514677345752716,0.824853241443634,01:12
3,0.6352840065956116,0.5851277112960815,0.1790606677532196,0.8209393620491028,01:12
4,0.5771642923355103,0.6332942843437195,0.18982388079166412,0.8101761341094971,01:11
5,0.565802276134491,0.6989212036132812,0.20205479860305786,0.7979452013969421,01:11
6,0.5504988431930542,0.7596941590309143,0.21819961071014404,0.781800389289856,01:11
7,0.5418681502342224,0.8130233287811279,0.2240704447031021,0.7759295701980591,01:12
8,0.5605689287185669,0.9171303510665894,0.24608610570430756,0.7539138793945312,01:12
9,0.5463898777961731,0.9844410419464111,0.2690802216529846,0.7309197783470154,01:11
10,0.5254968404769897,1.089745283126831,0.2744618356227875,0.7255381345748901,01:11
11,0.5473906993865967,1.210280418395996,0.2954990267753601,0.7045009732246399,01:11
12,0.5385764837265015,1.1524592638015747,0.2832680940628052,0.7167319059371948,01:12
13,0.5057089924812317,1.1804662942886353,0.2940313220024109,0.7059686779975891,01:12
14,0.510058581829071,1.2201266288757324,0.2793542146682739,0.7206457853317261,01:11
15,0.46556979417800903,1.2596559524536133,0.29745596647262573,0.7025440335273743,01:11
16,0.41379493474960327,1.2512760162353516,0.2954990267753601,0.7045009732246399,01:11
17,0.3886862099170685,1.2358559370040894,0.27250489592552185,0.7274951338768005,01:12
18,0.3907906115055084,1.2835497856140137,0.29794520139694214,0.7020547986030579,01:12
19,0.35550814867019653,1.3100045919418335,0.29109588265419006,0.7089040875434875,01:11
20,0.3073931932449341,1.2523499727249146,0.2857142984867096,0.7142857313156128,01:12
21,0.31554892659187317,1.237887978553772,0.28131115436553955,0.7186888456344604,01:11
22,0.312844842672348,1.3452731370925903,0.2881604731082916,0.7118395566940308,01:12
23,0.25115397572517395,1.3090531826019287,0.2857142984867096,0.7142857313156128,01:12
24,0.22033476829528809,1.3343150615692139,0.2920743525028229,0.7079256176948547,01:11
25,0.21233053505420685,1.4016499519348145,0.3018591105937958,0.6981409192085266,01:11
26,0.19509010016918182,1.3163470029830933,0.284246563911438,0.715753436088562,01:11
27,0.17949938774108887,1.2796366214752197,0.267123281955719,0.732876718044281,01:12
28,0.1513659507036209,1.3464131355285645,0.2744618356227875,0.7255381345748901,01:12
29,0.13670459389686584,1.3389084339141846,0.2690802216529846,0.7309197783470154,01:11
30,0.12901146709918976,1.2864441871643066,0.2685909867286682,0.7314090132713318,01:11
31,0.11762097477912903,1.431889295578003,0.28277885913848877,0.7172211408615112,01:11
32,0.09904217720031738,1.3180471658706665,0.2597847282886505,0.7402152419090271,01:12
33,0.09207237511873245,1.2735965251922607,0.25489237904548645,0.7451076507568359,01:12
34,0.0788436159491539,1.3312218189239502,0.2700587213039398,0.7299413084983826,01:11
35,0.07726369053125381,1.3213340044021606,0.26418787240982056,0.7358121275901794,01:11
36,0.05288444086909294,1.2184096574783325,0.2495107650756836,0.7504892349243164,01:11
37,0.053060419857501984,1.2664151191711426,0.24804304540157318,0.7519569396972656,01:11
38,0.05082431063055992,1.2188937664031982,0.2411937415599823,0.7588062882423401,01:11
39,0.03648154065012932,1.238445520401001,0.24706457555294037,0.7529354095458984,01:11
40,0.03718021512031555,1.2443108558654785,0.24266144633293152,0.7573385238647461,01:11
41,0.036976348608732224,1.2115975618362427,0.2402152568101883,0.7597847580909729,01:11
42,0.030521202832460403,1.171855092048645,0.2333659529685974,0.7666340470314026,01:11
43,0.026854606345295906,1.1760374307632446,0.23679061233997345,0.7632094025611877,01:11
44,0.02895607240498066,1.1596782207489014,0.23581212759017944,0.7641878724098206,01:11
45,0.025922488421201706,1.1719133853912354,0.23532289266586304,0.764677107334137,01:11
46,0.02191024459898472,1.1660058498382568,0.23532289266586304,0.764677107334137,01:11
47,0.017915405333042145,1.16999351978302,0.23581212759017944,0.7641878724098206,01:11
48,0.0184113010764122,1.1423428058624268,0.22847357392311096,0.7715263962745667,01:12
49,0.02019033394753933,1.1554055213928223,0.2309197634458542,0.7690802216529846,01:12
